Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,49.180000,49.330002,47.950001,48.310001,46.111729,10410400
2019-04-25,48.119999,49.189999,47.759998,49.099998,46.865780,9829500
2019-04-26,49.000000,49.560001,48.700001,49.349998,47.104408,8634100
2019-04-29,49.599998,50.299999,48.450001,49.369999,47.123493,16781300
2019-04-30,49.560001,49.860001,49.139999,49.680000,47.419392,8149000
2019-05-02,49.299999,49.900002,49.080002,49.790001,47.524384,8547800
2019-05-03,49.910000,50.240002,49.750000,50.080002,47.801189,8131400
2019-05-06,49.470001,49.669998,49.180000,49.369999,47.123493,6314800
2019-05-07,49.080002,49.680000,48.220001,49.490002,47.238037,10846100
2019-05-08,49.500000,50.840000,49.500000,50.590000,48.287983,14459600
2019-05-09,50.910000,51.259998,50.119999,51.029999,48.707958,15377500
2019-05-10,51.099998,51.189999,49.860001,50.160000,47.877548,8975300
2019-05-13,48.709999,49.389999,48.340000,48.369999,46.169003,10248300
2019-05-14,48.900002,48.980000,47.560001,47.900002,45.720383,9642400
2019-05-15,47.500000,47.619999,46.630001,47.110001,44.966339,10443800
2019-05-16,46.799999,46.849998,45.410000,45.639999,43.563225,14672800
2019-05-17,45.450001,46.459999,44.549999,44.849998,42.809170,14360100
2019-05-20,45.150002,46.840000,44.910000,46.570000,44.450905,13086100
2019-05-21,46.910000,49.380001,46.910000,49.230000,46.989861,14208300
2019-05-22,49.299999,49.500000,48.400002,48.820000,46.994522,8206200
2019-05-23,48.570000,49.360001,48.270000,48.900002,47.071533,8934600
2019-05-24,49.380001,49.799999,49.049999,49.619999,47.764610,9273900
2019-05-27,49.990002,50.980000,49.990002,50.590000,48.698341,7641500
2019-05-28,50.689999,51.849998,50.459999,51.250000,49.333660,15991100
2019-05-29,50.930000,51.680000,50.630001,51.200001,49.285530,11061200
2019-05-30,51.099998,52.000000,51.060001,51.950001,50.007488,9018800
2019-05-31,51.700001,52.580002,51.130001,51.849998,49.911224,10164600
2019-06-03,52.220001,52.549999,51.650002,52.090000,50.142254,7692400
2019-06-04,52.299999,52.939999,52.020000,52.939999,50.960472,11404900
2019-06-05,52.860001,52.939999,51.189999,51.480000,49.555065,9256500
2019-06-06,52.070000,52.860001,51.450001,52.790001,50.816074,7979900
2019-06-07,52.910000,53.119999,52.360001,52.360001,50.402157,6909100
2019-06-10,52.049999,52.200001,50.970001,51.869999,49.930477,9141300
2019-06-11,52.400002,52.900002,51.840000,52.900002,50.921967,13132800
2019-06-12,52.880001,53.000000,51.919998,52.259998,50.469093,8819600
2019-06-13,52.250000,52.669998,51.270000,51.430000,49.667534,15531800
2019-06-14,51.340000,51.500000,49.939999,50.520000,48.788719,13100600
2019-06-17,50.380001,51.049999,50.139999,50.470001,48.740433,6846000
2019-06-18,50.849998,52.049999,50.779999,51.650002,49.879997,12212600
2019-06-19,51.500000,52.500000,51.110001,52.500000,50.700867,7964300
2019-06-21,52.599998,53.500000,52.599998,52.910000,51.096817,14645400
2019-06-24,52.990002,53.900002,52.639999,53.040001,51.222359,9033600
2019-06-25,52.799999,53.599998,52.250000,52.549999,50.749149,15682100
2019-06-26,52.980000,53.730000,52.700001,53.689999,51.850082,13012300
2019-06-27,53.200001,54.169998,52.939999,53.799999,51.956318,13513800
2019-06-28,54.279999,54.279999,53.349998,53.939999,52.091511,14197400
2019-07-01,54.560001,54.669998,53.509998,53.880001,52.033573,8283200
2019-07-02,53.720001,54.250000,52.770000,53.189999,51.367222,10586200
2019-07-03,53.400002,54.299999,52.529999,54.299999,52.439182,11861800
2019-07-04,54.790001,55.180000,54.680000,55.180000,53.289028,9167100
2019-07-05,55.000000,55.369999,54.320000,55.000000,53.115192,9391600
2019-07-08,55.189999,55.349998,54.820000,54.950001,53.066910,6567500
2019-07-10,55.599998,55.700001,53.790001,54.259998,52.400551,12529600
2019-07-11,54.130001,54.130001,52.810001,53.200001,51.376881,14656000
2019-07-12,53.520000,53.619999,51.799999,52.000000,50.217999,12738500
2019-07-15,52.209999,52.389999,51.060001,51.689999,49.918621,10708500
2019-07-16,52.000000,52.189999,51.509998,51.770000,49.995880,10351100
2019-07-17,51.799999,52.169998,51.509998,51.779999,50.005539,6912500
2019-07-18,51.970001,53.250000,51.869999,52.660000,50.855381,12461000
2019-07-19,52.250000,52.950001,52.000000,52.000000,50.217999,8849700
2019-07-22,52.480000,52.660000,51.970001,52.009998,50.227657,6388400
2019-07-23,52.270000,52.380001,51.400002,51.400002,49.638561,12670600
2019-07-24,51.560001,52.650002,51.470001,52.330002,50.536690,15387500
2019-07-25,52.380001,52.520000,50.060001,50.119999,48.402424,17712000
2019-07-26,50.799999,50.810001,49.930000,50.000000,48.286537,8108800
2019-07-29,50.150002,50.639999,49.820000,50.450001,48.721115,5092200
2019-07-30,50.220001,50.700001,49.110001,49.939999,48.228596,9245000
2019-07-31,50.099998,50.200001,49.200001,49.220001,47.533272,11333700
2019-08-01,49.799999,50.470001,48.689999,48.750000,47.079380,14858500
2019-08-02,48.750000,49.349998,48.000000,48.759998,47.089031,8303900
2019-08-05,47.740002,48.759998,47.419998,47.849998,46.210217,8485400
2019-08-06,48.490002,49.070000,48.209999,48.500000,46.837944,8574100
2019-08-07,48.299999,48.779999,47.549999,48.450001,46.789658,11418500
2019-08-08,49.639999,49.680000,48.470001,48.799999,47.127663,12180400
2019-08-09,48.860001,49.180000,48.299999,48.650002,46.982803,8307100
2019-08-12,47.709999,47.799999,46.959999,47.000000,45.389347,10649600
2019-08-13,46.939999,48.250000,46.790001,47.549999,45.920498,9635700
2019-08-14,46.950001,47.070000,45.689999,45.889999,44.317383,11501500
2019-08-15,46.150002,46.639999,45.250000,45.849998,44.278755,10846200
2019-08-16,46.349998,46.549999,45.349998,45.730000,44.162868,9747600
2019-08-19,46.000000,46.689999,44.730000,44.830002,43.293709,10455600
2019-08-20,45.020000,45.180000,44.070000,44.790001,43.255085,6599800
2019-08-21,45.869999,47.459999,45.740002,47.349998,45.727352,13650300
2019-08-22,47.400002,47.560001,46.380001,46.650002,45.479874,7532600
2019-08-23,46.099998,46.540001,44.720001,44.950001,43.822514,13059000
2019-08-26,45.380001,45.700001,43.759998,44.740002,43.617783,6997400
2019-08-27,45.349998,45.599998,43.439999,44.380001,43.266815,12602900
2019-08-28,43.959999,44.299999,43.639999,44.009998,42.906090,8452100
2019-08-29,44.209999,45.220001,44.029999,45.080002,43.949257,8744900
2019-08-30,45.180000,46.560001,45.090000,46.240002,45.080158,11986000
2019-09-02,46.240002,46.790001,45.400002,45.650002,44.504959,5389200
2019-09-03,45.400002,46.320000,44.619999,44.799999,43.676277,11078700
2019-09-04,45.380001,45.930000,44.980000,45.860001,44.709690,7026800
2019-09-05,46.099998,47.779999,46.090000,47.459999,46.269558,12359200
2019-09-06,47.900002,49.389999,47.900002,49.389999,48.151146,14039100
2019-09-09,49.549999,50.529999,49.270000,50.000000,48.745846,13483300
2019-09-10,50.349998,50.500000,48.880001,49.160000,47.926914,8448200
2019-09-11,49.500000,49.970001,47.990002,47.990002,46.786263,14094600
2019-09-12,48.320000,48.369999,47.400002,48.000000,47.024277,10199500
2019-09-13,48.070000,48.500000,46.900002,47.139999,46.181763,7975100
2019-09-16,47.040001,47.560001,46.299999,46.650002,45.701721,8175500
2019-09-17,46.389999,47.450001,46.119999,47.299999,46.338509,6744200
2019-09-18,47.459999,48.250000,47.160000,48.020000,47.043873,8528300
2019-09-19,48.410000,48.700001,46.770000,46.770000,45.819283,9661800
2019-09-20,47.000000,47.980000,46.900002,47.509998,46.544239,15297300
2019-09-23,47.439999,47.740002,46.860001,47.279999,46.318913,5747300
2019-09-24,47.389999,47.560001,45.599998,45.840000,44.908188,11999100
2019-09-25,45.840000,45.840000,44.799999,45.540001,44.614285,10914800
2019-09-26,45.790001,46.209999,45.209999,45.709999,44.780830,8760600
2019-09-27,45.500000,46.080002,45.250000,45.340000,44.418354,7936500
2019-09-30,45.500000,45.900002,45.480000,45.490002,44.565304,5431300
2019-10-01,45.709999,45.709999,44.810001,44.950001,44.036278,6592200
2019-10-02,44.610001,44.610001,43.360001,43.419998,42.537380,19222600
2019-10-03,43.770000,45.290001,43.619999,45.290001,44.369370,15384000
2019-10-04,45.369999,45.599998,44.619999,45.599998,44.673065,7228200
2019-10-07,45.099998,45.230000,43.759998,43.799999,42.909653,13243600
2019-10-08,44.200001,44.330002,43.009998,43.009998,42.135715,11777200
2019-10-09,43.570000,44.340000,43.099998,44.200001,43.301525,9264000
2019-10-10,44.290001,44.820000,44.020000,44.400002,43.497459,6469000
2019-10-11,44.799999,45.389999,44.750000,45.230000,44.310589,9108300
2019-10-14,45.240002,45.560001,44.830002,45.000000,44.085262,6863500
2019-10-15,44.970001,45.180000,44.270000,44.380001,43.477867,14788500
2019-10-16,44.400002,45.360001,43.900002,45.000000,44.085262,15239700
2019-10-17,45.330002,45.700001,44.580002,44.910000,43.997093,24953800
